"","depth_class","Ecosystem_type","AI","MAP","MAT","PS_Bio15","TS_Bio4","TAR_Bio7","MaxTWM_Bio5","MinTCM_Bio6","MMTD_Bio2","PWM_Bio13","PDM_Bio14","Elevation","Slope","Mean_pH","Moisture","TC","CEC","Bulk.Density","RootDepth","GPP","Sand.content","Clay.content","Silt.content","Bedrock","Shannon_EVI","LAI","AbovegroundBiomass","BelowgroundBiomass","depth_mid","length","degree","CUE"
"313","0-30","Forest",0.4117,457,1.26666676998138,110.851013183594,1211.71997070312,44.0999984741211,22.2000007629395,-21.8999996185303,12.1833333969116,131,2,1677.5,8.20161914825439,6.14366666666667,50.3419565863812,0,0.176099996063858,0.3363,0.579842805862427,0,41,16,43.5,2333,26626,3.76440000534058,15.7,9.4,12.5,0.592713289495021,29.1696616293139,0.352604787560521
"314","0-30","Forest",0.8702,749,1.39583325386047,96.5035171508789,1293.83764648438,47.7000007629395,23,-24.7000007629395,12.4250001907349,181,6,1028.25,1.82135951519012,5.63066666666667,152.012115967114,0,0.250849994393066,0.2311,1.15968561172485,0,39,16,45,1971,25585,4.07469987869263,37.3,14.6,12.5,0.733623297833151,40.3110602649551,0.275340832097371
"315","0-30","Forest",0.8457,732,1.60000002384186,98.7266387939453,1270.25231933594,47.2000007629395,23.1000003814697,-24.1000003814697,12.4166669845581,177,5,1016.1875,4.37616443634033,5.71766666666667,86.2126245847176,0,0.250849994393066,0.301,0.183108270168304,0,39,16,45,3374,28606,4.07469987869263,51.7,17,12.5,0.777524658229853,53.6433383873871,0.290731356288689
"316","0-30","Forest",0.9044,746,0.500000059604645,100.66463470459,1230.07019042969,46,21.7000007629395,-24.2999992370605,12.1999998092651,180,4,1270.5,1.44242417812347,5.18166666666667,88.2184729768373,0,0.306499993149191,0.3497,0.427252620458603,0,35,19,46,2558,24534,3.42020010948181,57.3,17.7,12.5,0.871460461244311,45.1429248975572,0.205526558522067
"317","0-30","Forest",0.9044,746,0.500000059604645,100.66463470459,1230.07019042969,46,21.7000007629395,-24.2999992370605,12.1999998092651,180,4,1270.5,1.44242417812347,4.74,105.861546235472,0,0.306499993149191,0.1979,0.427252620458603,0,35,19,46,2558,24534,3.42020010948181,57.3,17.7,12.5,0.69688396043065,44.6012367170512,0.265499363845844
"318","0-30","Forest",0.8698,746,1.48333334922791,98.6966400146484,1266.13647460938,47.2999992370605,23,-24.2999992370605,12.5666666030884,181,5,1054.625,1.90439796447754,4.81833333333333,129.476763080923,0,0.192399995699525,0.3077,0.183108270168304,0,25,20.5,54.5,2728,28064,3.79329991340637,43,16.1,12.5,0.706513820210468,49.4394850642719,0.334772981025099
"319","0-30","Forest",1.0737,816,-1.56666672229767,101.379608154297,1243.17468261719,46.2000007629395,20,-26.2000007629395,12.3666667938232,200,5,1656.375,5.58433961868286,4.87666666666667,133.55667225014,0,0.285449993619695,0.1791,0.152590215206146,0,36,18,45.5,1201,36618,3.42020010948181,51.5,16.4,12.5,0.536785979124258,53.5037967081742,0.3677841575063
"320","0-30","Forest",1.2797,916,-3.13333320617676,94.7627334594727,1243.75402832031,46.2999992370605,18.5,-27.7999992370605,12.5666666030884,217,8,1996.1875,9.07353591918945,5.22333333333333,124.163424124514,0,0.217199995145202,0.257,0.152590215206146,0,32.5,21.5,46,1201,36618,3.42020010948181,7.6,12.1,12.5,0.601456686710095,35.3882852346949,0.292187795223929
"321","0-30","Forest",1.2797,916,-3.13333320617676,94.7627334594727,1243.75402832031,46.2999992370605,18.5,-27.7999992370605,12.5666666030884,217,8,1996.1875,9.07353591918945,4.82333333333333,104.441391941392,0,0.217199995145202,0.2184,0.152590215206146,0,32.5,21.5,46,1201,36618,3.42020010948181,7.6,12.1,12.5,0.521004677557322,49.315021488532,0.366193091761756
"322","0-30","Forest",0.4391,539,5.19999980926514,121.401809692383,1162.35070800781,42.6999969482422,24.8999996185303,-17.7999992370605,11.8000001907349,166,2,1197.9375,11.7754049301147,5.93666666666667,26.3642564802183,0,0.128749997122213,0.5864,5.76791048049927,0,42,17,41,990,27550,3.46580004692078,18,8,12.5,1.01777233100237,48.5178582996179,0.260067425029175
"323","0-30","Forest",0.457,550,4.52916669845581,119.683242797852,1153.83642578125,42.3000030517578,24.1000003814697,-18.2000007629395,11.591667175293,168,2,1351.0625,11.1990909576416,6.49,35.8592132505176,0,0.128749997122213,0.2415,1.20546269416809,0,42,17,41,774,28711,3.46580004692078,31.9,12,12.5,0.920554459856105,42.9414883656352,0.208382083588858
"324","0-30","Forest",0.4842,569,3.59166669845581,117.642242431641,1141.08166503906,41.7999992370605,23,-18.7999992370605,11.5166664123535,171,2,1578.3125,15.0773315429688,5.93333333333333,25.3987005316007,0,0.128749997122213,0.5079,1.20546269416809,0,42,17,41,774,28711,3.46580004692078,26.3,10.1,12.5,0.824681401679161,41.4292340972774,0.274299740375816
"325","0-30","Forest",0.4841,570,3.65833353996277,118.090034484863,1140.08740234375,41.9000015258789,23.1000003814697,-18.7999992370605,11.6000003814697,172,2,1549.4375,16.8505725860596,5.06666666666667,37.5365057550249,0,0.128749997122213,0.5821,1.20546269416809,0,42,17,41,774,28711,3.46580004692078,27.3,11.2,12.5,0.754768677300955,46.0101844864623,0.282382549966212
"326","0-30","Forest",0.1748,241,4.51666688919067,96.9400405883789,1075.4921875,39.9000015258789,23.6000003814697,-16.2999992370605,10.9666662216187,61,1,2017,13.2375173568726,7.45066666666667,45.6434852118305,0,0.16369999634102,0.2502,0.656137943267822,0,41.5,17.5,41,517,26074,0.39860001206398,12.8,8.2,12.5,1.13624320800151,46.3064325706944,0.17515822843559
"327","0-30","Forest",0.1899,252,3.39166688919067,98.8095932006836,1049.45190429688,38.9000015258789,22.1000003814697,-16.7999992370605,10.5833330154419,64,1,2327.4375,15.2295255661011,7.346,34.8734873487349,0,0.16369999634102,0.3636,0.656137943267822,0,41.5,17.5,41,517,26074,0.39860001206398,8.2,6.9,12.5,1.00053626624078,44.206402695344,0.215575473745191
"328","0-30","Forest",0.1899,252,3.39166688919067,98.8095932006836,1049.45190429688,38.9000015258789,22.1000003814697,-16.7999992370605,10.5833330154419,64,1,2327.4375,15.2295255661011,7.88,43.4899730619575,0,0.16369999634102,0.3341,0.656137943267822,0,41.5,17.5,41,517,26074,0.39860001206398,31.3,14.3,12.5,0.933203415554457,41.6119603490847,0.289967683926901
"329","0-30","Forest",0.4375,514,4.69999980926514,111.079399108887,1030.53601074219,39.7000007629395,23.1000003814697,-16.6000003814697,12.1000003814697,151,2,1603.125,18.8508071899414,6.65133333333333,32.7097584810834,0,0.183449995899573,0.7163,1.25123977661133,0,42,15.5,42.5,1059,24801,3.12470006942749,8,5.7,12.5,0.787051083135951,46.1651032630665,0.313046858829071
"330","0-30","Forest",0.3753,474,6.55000019073486,113.709487915039,1045.36206054688,40.0999984741211,25.1000003814697,-15,12.1666669845581,141,1,1275.625,14.6300401687622,5.291,52.0869350456903,0,0.183449995899573,0.4049,1.25123977661133,0,42,15.5,42.5,1059,24801,3.12470006942749,7.5,6.8,12.5,0.727403440403009,43.6267712421826,0.3259760098443
"331","0-30","Forest",0.4312,512,4.91249990463257,111.111442565918,1031.39831542969,39.6999969482422,23.2999992370605,-16.3999996185303,12.125,151,2,1565.0625,19.6207733154297,5.44233333333333,110.556844547564,0,0.183449995899573,0.1724,1.25123977661133,0,42,15.5,42.5,1059,24801,3.12470006942749,20.3,9.3,12.5,0.670471359556113,47.8066305489934,0.271450574800486
